city,lat,lng,country,Region,population
Skhour Rehamna,32.4833,-7.9167,Morocco,Marrakech-Safi,15479
Al Hammam,33.1868,-5.6225,Morocco,Béni Mellal-Khénifra,15438
Ezzhiliga,33.3,-6.5333,Morocco,Rabat-Salé-Kénitra,15430
Anazzou,30.6333,-8.05,Morocco,Souss-Massa,15429
Tendrara,33.05,-2,Morocco,Oriental,15390
Aç-çahrij,31.8,-7.14,Morocco,Marrakech-Safi,15385
Moul El Bergui,32.5113,-8.9849,Morocco,Marrakech-Safi,15342
Aïn Jemaa,34.0333,-5.8,Morocco,Fès-Meknès,15265
Tazert,31.6597,-7.4092,Morocco,Marrakech-Safi,15243
Souk Et-Tleta des Oulad Hamdane,33.1047,-8.2495,Morocco,Casablanca-Settat,15205
Tirhassaline,32.7833,-5.65,Morocco,Béni Mellal-Khénifra,15204
Douar El Arbaa Bou Quorra,34.749,-5.1982,Morocco,Tanger-Tétouan-Al Hoceïma,15165
Oulad Bou Rahmoun,32.2954,-6.6668,Morocco,Béni Mellal-Khénifra,15113
Mellila,33.3833,-7.1333,Morocco,Casablanca-Settat,15081
Sabbah,33.8036,-7.0372,Morocco,Rabat-Salé-Kénitra,15029
Midar,34.95,-3.5333,Morocco,Oriental,15021
Esbiaat,32.2044,-8.5608,Morocco,Marrakech-Safi,14986
Douar Souk L‘qolla,35.0718,-5.5702,Morocco,Tanger-Tétouan-Al Hoceïma,14965
Tabant,31.6581,-6.42,Morocco,Béni Mellal-Khénifra,14963
’Tlat Bni Oukil,32.577,-6.84,Morocco,Béni Mellal-Khénifra,14960
Sidi Zouine,31.6706,-8.3508,Morocco,Marrakech-Safi,14954
Oued Jdida,33.9333,-5.3667,Morocco,Fès-Meknès,14935
Gourrama,32.3333,-4.0833,Morocco,Drâa-Tafilalet,14927
Aghbal,34.9394,-2.1272,Morocco,Oriental,14908
Nzalat Laadam,32.1,-7.95,Morocco,Marrakech-Safi,14838
Ighrem n’Ougdal,31.2333,-7.4333,Morocco,Drâa-Tafilalet,14804
Bni Darkoul,35.0563,-5.0688,Morocco,Tanger-Tétouan-Al Hoceïma,14779
Driouch,34.9833,-3.3833,Morocco,Oriental,14741
Douar Oulad Driss,31.9039,-8.3024,Morocco,Marrakech-Safi,14716
Oulad Driss,31.9996,-8.2276,Morocco,Marrakech-Safi,14716
Mediouna,33.45,-7.51,Morocco,Casablanca-Settat,14712
Ifrane,33.5333,-5.1167,Morocco,Fès-Meknès,14659
Wawizaght,32.1586,-6.355,Morocco,Béni Mellal-Khénifra,14570
Ayt ’Attou ou L’Arbi,31.5456,-8.2967,Morocco,Marrakech-Safi,14544
Madagh,35.0133,-2.3397,Morocco,Oriental,14486
Boula’wane,32.8607,-8.053,Morocco,Casablanca-Settat,14485
Tagalft,32.2389,-6.1238,Morocco,Béni Mellal-Khénifra,14423
Ourtzagh,34.55,-4.9333,Morocco,Fès-Meknès,14381
Sidi Azzouz,34.5411,-5.7516,Morocco,Rabat-Salé-Kénitra,14356
Zaouiat Moulay Bouchta El Khammar,34.4833,-5.1167,Morocco,Fès-Meknès,14347
Ihaddadene,31.2,-9.65,Morocco,Marrakech-Safi,14345
Ait Yazza,30.5063,-8.7931,Morocco,Souss-Massa,14259
Ben Taieb,35.0837,-3.4696,Morocco,Oriental,14257
Tafrant,34.625,-5.1242,Morocco,Fès-Meknès,14246
Bou Izakarn,29.1667,-9.7333,Morocco,Guelmim-Oued Noun,14228
Douar Hammadi,31.609,-8.4604,Morocco,Marrakech-Safi,14227
Bezou,32.0833,-7.05,Morocco,Béni Mellal-Khénifra,14072
Talwat,31.2883,-7.2372,Morocco,Drâa-Tafilalet,14060
Sidi Abdelkarim,33.1869,-7.2333,Morocco,Casablanca-Settat,14037
Temsamane,35.1167,-3.6333,Morocco,Oriental,13920
Oulad Chikh,32.8544,-7.5386,Morocco,Casablanca-Settat,13866
Toulal,32.3036,-3.9861,Morocco,Drâa-Tafilalet,13852
Khmis Sidi al ’Aydi,33.1228,-7.6219,Morocco,Casablanca-Settat,13839
Arbaa Laaounate,32.7446,-8.1942,Morocco,Casablanca-Settat,13793
Douar Lehgagcha,32.55,-8.7167,Morocco,Casablanca-Settat,13748
Mqam at Tolba,34.0173,-6.25,Morocco,Rabat-Salé-Kénitra,13503
Targuist,34.95,-4.3,Morocco,Tanger-Tétouan-Al Hoceïma,13390
Kissane Ltouqi,34.6,-5.0833,Morocco,Fès-Meknès,13390
Tounfit,32.4667,-5.2333,Morocco,Drâa-Tafilalet,13297
Reggada,29.5205,-9.6664,Morocco,Souss-Massa,13284
Sebt Labrikiyne,32.2944,-8.0722,Morocco,Marrakech-Safi,13225
El Kansera,34.0419,-5.9272,Morocco,Rabat-Salé-Kénitra,13209
Douar Sidi Laaroussi,31.845,-9.1586,Morocco,Marrakech-Safi,13202
Zayda,32.8167,-4.95,Morocco,Drâa-Tafilalet,13181
Asjen,34.85,-5.6167,Morocco,Tanger-Tétouan-Al Hoceïma,13139
Bhalil,33.85,-4.8667,Morocco,Fès-Meknès,12997
Ksar Sghir,35.8419,-5.5586,Morocco,Tanger-Tétouan-Al Hoceïma,12997
Sebt Bni Garfett,35.25,-5.8333,Morocco,Tanger-Tétouan-Al Hoceïma,12994
Bou Fekrane,33.7667,-5.4833,Morocco,Fès-Meknès,12941
Bni Khloug,32.65,-7.3833,Morocco,Casablanca-Settat,12930
Douar Oulad Youssef,32.4807,-6.3769,Morocco,Béni Mellal-Khénifra,12804
Kasba Tanora,32.4751,-6.1498,Morocco,Béni Mellal-Khénifra,12783
Aghbala,32.4833,-5.6333,Morocco,Béni Mellal-Khénifra,12781
Tizgane,35.4136,-5.0696,Morocco,Tanger-Tétouan-Al Hoceïma,12773
Zag,28.0167,-9.3333,Morocco,Guelmim-Oued Noun,12763
Oulad Rahmoun,32.3278,-6.5006,Morocco,Béni Mellal-Khénifra,12720
Laamarna,31.8944,-8.9842,Morocco,Marrakech-Safi,12717
Bou Adel,34.5428,-4.5075,Morocco,Fès-Meknès,12684
Aït Youssef Ou Ali,31.9833,-5.7833,Morocco,Drâa-Tafilalet,12673
Ahermoumou,33.8184,-4.4106,Morocco,Fès-Meknès,12654
El Menzel,33.8389,-4.5458,Morocco,Fès-Meknès,12641
Souakene,35.1167,-5.95,Morocco,Tanger-Tétouan-Al Hoceïma,12632
Teroual,34.6667,-5.2667,Morocco,Tanger-Tétouan-Al Hoceïma,12621
Tamsaout,29.5333,-8.85,Morocco,Souss-Massa,12610
Oulad Ouchchih,35.0939,-5.9454,Morocco,Tanger-Tétouan-Al Hoceïma,12608
Ounagha,31.5333,-9.55,Morocco,Marrakech-Safi,12461
Boumia,32.7228,-5.1053,Morocco,Drâa-Tafilalet,12444
Oulad Fares,35.5167,-5.9333,Morocco,Tanger-Tétouan-Al Hoceïma,12341
Oulad Aïssa,30.558,-8.614,Morocco,Souss-Massa,12331
Jaidte Lbatma,31.6806,-7.7281,Morocco,Marrakech-Safi,12330
Boumalne,31.4236,-6.0722,Morocco,Drâa-Tafilalet,12328
Nkheila,32.9239,-7.0692,Morocco,Casablanca-Settat,12306
Aj Jourf,31.4903,-4.4014,Morocco,Drâa-Tafilalet,12302
Ar Rommani,33.5333,-6.6167,Morocco,Rabat-Salé-Kénitra,12297
Ain Kansara,34.15,-4.8314,Morocco,Fès-Meknès,12291
Guisser,32.7667,-7.5,Morocco,Casablanca-Settat,12289
Gharbia,35.5153,-5.9306,Morocco,Tanger-Tétouan-Al Hoceïma,12274
Oulad Hamdane,32.3736,-8.5395,Morocco,Marrakech-Safi,12252
Malloussa,35.7333,-5.6333,Morocco,Tanger-Tétouan-Al Hoceïma,12250
Tahannawt,31.3514,-7.9508,Morocco,Marrakech-Safi,12102
Mayate,32.2667,-7.5167,Morocco,Marrakech-Safi,12101
Steha,35.3646,-4.9306,Morocco,Tanger-Tétouan-Al Hoceïma,12034
Al Fayd,30.6167,-8.2167,Morocco,Souss-Massa,12011
Oulad Daoud,34.4058,-4.6939,Morocco,Fès-Meknès,11978
Ain Beida,31.585,-8.608,Morocco,Marrakech-Safi,11978
Souq Jamaa Fdalate,33.5911,-7.2792,Morocco,Casablanca-Settat,11966
Sidi Yahia,30.4969,-8.8211,Morocco,Souss-Massa,11955
Aït I’yach,32.6667,-4.9556,Morocco,Drâa-Tafilalet,11946
Matmata,34.1,-4.55,Morocco,Fès-Meknès,11928
Tizi Nisly,32.4667,-5.7667,Morocco,Béni Mellal-Khénifra,11918
Zemamra,32.6215,-8.7023,Morocco,Casablanca-Settat,11896
Oulad Amrane el Mekki,35.2167,-5.9667,Morocco,Tanger-Tétouan-Al Hoceïma,11866
El Arba Des Bir Lenni,34.3272,-4.2039,Morocco,Fès-Meknès,11866
Tiddas,33.5665,-6.2659,Morocco,Rabat-Salé-Kénitra,11831
Toualet,32.7333,-7.1833,Morocco,Casablanca-Settat,11815
Sidi Amer El Hadi,34.7992,-5.8394,Morocco,Rabat-Salé-Kénitra,11814
Tifni,31.6281,-6.9444,Morocco,Béni Mellal-Khénifra,11760
Tamezmout,30.8075,-6.1142,Morocco,Drâa-Tafilalet,11697
Moulay Driss Zerhoun,34.0542,-5.5272,Morocco,Fès-Meknès,11615
Oulad Friha,32.6108,-7.625,Morocco,Casablanca-Settat,11581
Oulad Hamdane,32.3333,-6.3667,Morocco,Béni Mellal-Khénifra,11577
Derdara,35.1103,-5.2872,Morocco,Tanger-Tétouan-Al Hoceïma,11547
Sidi Kasem,35.5339,-5.2183,Morocco,Tanger-Tétouan-Al Hoceïma,11537
Taïneste,34.5573,-4.136,Morocco,Fès-Meknès,11530
Al M’aziz,33.6667,-6.3167,Morocco,Rabat-Salé-Kénitra,11502
Dzouz,31.89,-7.32,Morocco,Marrakech-Safi,11501
Bouabout,31.2667,-9.1833,Morocco,Marrakech-Safi,11494
Tawnza,32.0944,-6.6025,Morocco,Béni Mellal-Khénifra,11488
Douar Trougout,35.18,-3.77,Morocco,Oriental,11458
Ahlaf,33.2833,-7.2,Morocco,Casablanca-Settat,11451
Sidi Moussa Ben Ali,33.5594,-7.3817,Morocco,Casablanca-Settat,11445
El Khemis des Beni Chegdal,32.4441,-6.9551,Morocco,Béni Mellal-Khénifra,11444
Amdel,31.5617,-8.8944,Morocco,Marrakech-Safi,11438
Ain Legdah,34.1667,-4.5,Morocco,Fès-Meknès,11422
Laqraqra,32.4333,-7.4333,Morocco,Marrakech-Safi,11419
Douar Sgarta,32.1667,-7.6333,Morocco,Marrakech-Safi,11387
Lahfayr,30.57,-8.4878,Morocco,Souss-Massa,11374
Boudenib,31.9497,-3.6078,Morocco,Drâa-Tafilalet,11373
Tilmi,31.8189,-5.7718,Morocco,Drâa-Tafilalet,11372
Douar Oulad Naoual,34.4936,-5.7108,Morocco,Rabat-Salé-Kénitra,11371
Lamsabih,32.2933,-8.6889,Morocco,Marrakech-Safi,11339
Ouaklim Oukider,31.45,-5.55,Morocco,Drâa-Tafilalet,11338
Jem’at Oulad ’Abbou,33.1156,-7.9333,Morocco,Casablanca-Settat,11299
Lafrayta,31.9167,-7.25,Morocco,Marrakech-Safi,11298
Commune Sidi Youssef Ben Ahmed,33.7861,-4.8152,Morocco,Fès-Meknès,11292
El Ghourdane,32.3205,-8.7637,Morocco,Marrakech-Safi,11291
Jamaat Shaim,32.3486,-8.8431,Morocco,Marrakech-Safi,11251
Touama,31.5339,-7.4872,Morocco,Marrakech-Safi,11243
Sidi Abdellah Ben Taazizt,34.0019,-5.3695,Morocco,Fès-Meknès,11227
Iygli,29.5001,-9.0501,Morocco,Souss-Massa,11197
Tissa,35.0228,-4.1408,Morocco,Fès-Meknès,11195
Douar Jwalla,31.89,-7.44,Morocco,Marrakech-Safi,11168
Boujediane,35.1114,-5.7823,Morocco,Tanger-Tétouan-Al Hoceïma,11166
Douar Ain Maatouf,34.4352,-4.5566,Morocco,Fès-Meknès,11165
Zaouiet Says,32.7931,-8.6506,Morocco,Casablanca-Settat,11160
Iazizatene,35.2544,-3.115,Morocco,Oriental,11131
Kariat Ben Aouda,34.7667,-5.95,Morocco,Rabat-Salé-Kénitra,11087
Farkhâna,35.2833,-3.0167,Morocco,Oriental,10994
Takad Sahel,30.25,-9.55,Morocco,Souss-Massa,10968
Timahdit,33.2369,-5.06,Morocco,Fès-Meknès,10945
Bni Drar,34.8578,-1.9928,Morocco,Oriental,10934
Figuig,32.1167,-1.2269,Morocco,Oriental,10872
Imi Mokorn,30.1675,-9.2322,Morocco,Souss-Massa,10748
Douar Bouchfaa,34.1014,-4.2939,Morocco,Fès-Meknès,10724
Tanant,31.8667,-6.95,Morocco,Béni Mellal-Khénifra,10706
Arbaa Sahel,29.5993,-9.877,Morocco,Souss-Massa,10705
Taouloukoult,31.2167,-9.0833,Morocco,Marrakech-Safi,10682
Agdz,30.6978,-6.4497,Morocco,Drâa-Tafilalet,10681
Sebt Ait Ikkou,33.6686,-6.1372,Morocco,Rabat-Salé-Kénitra,10676
Lamhadi,32.3,-9.0167,Morocco,Marrakech-Safi,10651
Hetane,32.8403,-6.8025,Morocco,Béni Mellal-Khénifra,10618
Itzer,32.8833,-5.05,Morocco,Drâa-Tafilalet,10613
Toundout,31.2667,-6.5833,Morocco,Drâa-Tafilalet,10606
Abadou,31.5797,-7.3122,Morocco,Marrakech-Safi,10602
Aïn Zora,34.66,-3.53,Morocco,Oriental,10601
Aït Hani,31.7786,-5.4555,Morocco,Drâa-Tafilalet,10587
Tamanar,31,-9.6667,Morocco,Marrakech-Safi,10584
Had Laaounate,32.6128,-8.2256,Morocco,Casablanca-Settat,10580
Tourza,29.4778,-10.0158,Morocco,Guelmim-Oued Noun,10577
Amtar,35.2385,-4.7943,Morocco,Tanger-Tétouan-Al Hoceïma,10574
Mokrisset,34.91,-5.3536,Morocco,Tanger-Tétouan-Al Hoceïma,10545
Tilougguit,32.0333,-6.2,Morocco,Béni Mellal-Khénifra,10544
Sidi Bousber,34.5667,-5.3667,Morocco,Tanger-Tétouan-Al Hoceïma,10528
Souq Sebt Says,32.7773,-8.6433,Morocco,Casablanca-Settat,10488
Sidi Abdallah,32.5783,-7.8108,Morocco,Marrakech-Safi,10481
Sidi Boushab,30.074,-9.279,Morocco,Souss-Massa,10438
Zawyat Ahançal,31.8325,-6.1056,Morocco,Béni Mellal-Khénifra,10435
Awfouss,31.6833,-4.1667,Morocco,Drâa-Tafilalet,10424
Oulad Slim,32.7775,-7.7725,Morocco,Casablanca-Settat,10410
Oued Amlil,34.2,-4.2833,Morocco,Fès-Meknès,10405
Brikcha,34.9667,-5.5833,Morocco,Tanger-Tétouan-Al Hoceïma,10399
Douar Echbanat,34.214,-5.3508,Morocco,Fès-Meknès,10371
Tnine Sidi Lyamani,35.37,-5.97,Morocco,Tanger-Tétouan-Al Hoceïma,10365
Beni Oulid,34.5897,-4.4514,Morocco,Fès-Meknès,10324
Aghbalou n’Kerdous,31.6767,-5.2976,Morocco,Drâa-Tafilalet,10313
Bounaamane,29.5283,-9.8044,Morocco,Souss-Massa,10310
Jaqma,33.292,-7.44,Morocco,Casablanca-Settat,10306
Dar Si Aissa,32.4199,-8.908,Morocco,Marrakech-Safi,10266
Sgamna,32.7342,-7.2025,Morocco,Casablanca-Settat,10245
Ksar Lmajaz,35.8428,-5.5586,Morocco,Tanger-Tétouan-Al Hoceïma,10237
Douar Mzoura,34.3167,-5.9333,Morocco,Rabat-Salé-Kénitra,10194
Jemaat Oulad Mhamed,33.0938,-7.0519,Morocco,Casablanca-Settat,10187
Msila,35.2,-5.5667,Morocco,Tanger-Tétouan-Al Hoceïma,10153
Aïn Zohra,34.1,-6.35,Morocco,Rabat-Salé-Kénitra,10151
Za’roura,35.2167,-5.6667,Morocco,Tanger-Tétouan-Al Hoceïma,10137
La’tamna,31.91,-7.34,Morocco,Marrakech-Safi,10063
Jafra,31.5145,-8.7555,Morocco,Marrakech-Safi,10060
Taghbalt,30.62,-5.35,Morocco,Drâa-Tafilalet,10054
Bou’nane,32.0275,-3.04,Morocco,Oriental,10035
Zaggota,34.1667,-5.5333,Morocco,Rabat-Salé-Kénitra,10032
Tarhjicht,29.0564,-9.4281,Morocco,Guelmim-Oued Noun,9988
Kenafif,30.4167,-9.0333,Morocco,Souss-Massa,9936
Dar El Kebdani,35.1203,-3.3322,Morocco,Oriental,9911
Sidi Rahhal,31.6667,-7.4833,Morocco,Marrakech-Safi,9906
Kourimat,31.45,-9.3167,Morocco,Marrakech-Safi,9897
Ech Chaïbat,31.6,-7.85,Morocco,Marrakech-Safi,9877
Foum Jam’a,31.96,-6.98,Morocco,Béni Mellal-Khénifra,9873
Douar Snada,35.0667,-4.2167,Morocco,Tanger-Tétouan-Al Hoceïma,9870
Boudinar,35.15,-3.6333,Morocco,Oriental,9863
Outa Bouabane,34.2606,-4.4139,Morocco,Fès-Meknès,9856
Oulad ’Azzouz,32.7693,-6.7543,Morocco,Béni Mellal-Khénifra,9815
Imlil,31.7567,-7.0106,Morocco,Béni Mellal-Khénifra,9796
Tiztoutine,34.9833,-3.15,Morocco,Oriental,9788
Tadla,32.4409,-8.3708,Morocco,Marrakech-Safi,9750
Ain Karma,34.0071,-5.6182,Morocco,Fès-Meknès,9738
Aghbalou Aqourar,33.9341,-4.7381,Morocco,Fès-Meknès,9715
Douar Lehouifrat,32.28,-8.31,Morocco,Marrakech-Safi,9705
Aklim,34.9167,-2.4333,Morocco,Oriental,9695
Sidi Ahmed El Khadir,32.5167,-7.3833,Morocco,Casablanca-Settat,9687
’Aïn Leuh,33.2833,-5.3833,Morocco,Fès-Meknès,9669
Oued Laou,35.45,-5.0833,Morocco,Tanger-Tétouan-Al Hoceïma,9665
Bni Boufrah,35.1,-4.3167,Morocco,Tanger-Tétouan-Al Hoceïma,9653
Oulad Imloul,32.0333,-7.7167,Morocco,Marrakech-Safi,9614
Bou Zemou,32.1114,-5.5197,Morocco,Drâa-Tafilalet,9583
Oulad Ayyad,32.3333,-6.3833,Morocco,Béni Mellal-Khénifra,9566
Tatoufet,35.0339,-5.7706,Morocco,Tanger-Tétouan-Al Hoceïma,9527
Zawyat Sidi Ben Hamdoun,33.045,-7.929,Morocco,Casablanca-Settat,9521
Bni Gmil,35.0833,-4.3833,Morocco,Tanger-Tétouan-Al Hoceïma,9513
Douar Messassa,34.2803,-4.5336,Morocco,Fès-Meknès,9501
Gaada,35.1594,-2.9892,Morocco,Oriental,9497
Berkine,33.7665,-3.8438,Morocco,Oriental,9469
El Amim,32.2067,-7.2629,Morocco,Marrakech-Safi,9454
Tissaf,33.4,-3.5833,Morocco,Fès-Meknès,9444
Tissint,29.9006,-7.3203,Morocco,Souss-Massa,9434
Sidi El Hattab,32.2667,-7.2833,Morocco,Marrakech-Safi,9421
Gammasa,31.4182,-8.3784,Morocco,Marrakech-Safi,9388
Mhâjâr,35.12,-3.49,Morocco,Oriental,9386
Douar Oulad Bouziane,34.2325,-5.0444,Morocco,Fès-Meknès,9372
Ameskroud,30.5308,-9.3283,Morocco,Souss-Massa,9351
Laanoussar,33.6833,-4.8167,Morocco,Fès-Meknès,9343
Laghzawna,33.189,-7.684,Morocco,Casablanca-Settat,9315
Douar Oulad Sidi Moussa,32.2726,-7.1987,Morocco,Casablanca-Settat,9260
Sidi Lahsene,34.0999,-2.6219,Morocco,Oriental,9259
Douar Ezzerarda,34.7667,-5.8333,Morocco,Rabat-Salé-Kénitra,9249
Oulad Cherif,31.7667,-7.7833,Morocco,Marrakech-Safi,9237
Tanakoub,35.1091,-5.4577,Morocco,Tanger-Tétouan-Al Hoceïma,9236
Sidi Bou Othmane,31.9033,-7.9422,Morocco,Marrakech-Safi,9181
Douar El Mellaliyine,35.6264,-5.3414,Morocco,Tanger-Tétouan-Al Hoceïma,9177
Bir Tam Tam,33.9833,-4.6333,Morocco,Fès-Meknès,9141
Tafersit,35.0167,-3.5333,Morocco,Oriental,9133
Mwaline al Oued,33.4467,-7.3283,Morocco,Casablanca-Settat,9129
Chtiba,32.2,-7.3,Morocco,Marrakech-Safi,9122
Iguidiy,30.7467,-7.9267,Morocco,Souss-Massa,9100
Sidi Ouassay,30.05,-9.6833,Morocco,Souss-Massa,9087
Gtarna,32.9724,-7.9645,Morocco,Casablanca-Settat,9084
Aïn el Mediour,30.4,-8.8833,Morocco,Souss-Massa,9000
Had Dra,31.5833,-9.5333,Morocco,Marrakech-Safi,8989
Foum Zguid,30.0833,-6.8667,Morocco,Souss-Massa,8986
Bni Sidel,35.1392,-3.1281,Morocco,Oriental,8930
Zawyat Sidi al Mekki,33.212,-7.717,Morocco,Casablanca-Settat,8920
Douar Ait Taleb,32.3839,-8.1856,Morocco,Marrakech-Safi,8888
Imilchil,32.155,-5.6347,Morocco,Drâa-Tafilalet,8870
Iskourane,30.8433,-9.8186,Morocco,Marrakech-Safi,8866
Msemrir,31.7028,-5.8125,Morocco,Drâa-Tafilalet,8866
Ait Ikkou,33.669,-6.1376,Morocco,Fès-Meknès,8865
Aït Ouaoumana,32.7128,-5.8042,Morocco,Béni Mellal-Khénifra,8849
Agadir Melloul,30.2167,-7.8,Morocco,Souss-Massa,8848
Amarzgane,31.05,-7.2167,Morocco,Drâa-Tafilalet,8820
Hassi Berkane,34.8333,-2.8667,Morocco,Oriental,8788
Saidia,35.085,-2.2392,Morocco,Oriental,8780
Tiqqi,29.8667,-9.0667,Morocco,Souss-Massa,8773
Bouhlou,34.1333,-4.4,Morocco,Fès-Meknès,8748
Iaboutene,35.067,-3.967,Morocco,Tanger-Tétouan-Al Hoceïma,8715
Tleta Taghramt,35.7877,-5.4677,Morocco,Tanger-Tétouan-Al Hoceïma,8706
Sidi el Mokhfi,34.6039,-4.7889,Morocco,Fès-Meknès,8705
Sidi Dahbi,33.05,-7.1833,Morocco,Casablanca-Settat,8703
Zawiat Moulay Brahim,31.2858,-7.9656,Morocco,Marrakech-Safi,8698
Oulad Khallouf,31.79,-7.07,Morocco,Marrakech-Safi,8605
Oulad Khallouf,34.71,-2.58,Morocco,Oriental,8605
Lakhzazra,33.0333,-7.05,Morocco,Casablanca-Settat,8582
Lambarkiyine,33.2,-7.5,Morocco,Casablanca-Settat,8559
Bir Anzarane,23.8918,-14.5364,Morocco,Dakhla-Oued Ed-Dahab,6244
Tifariti,26.158,-10.567,Morocco,Laâyoune-Sakia El Hamra,3000
Uad Damran,27.4181,-12.9842,Morocco,Laâyoune-Sakia El Hamra,1108
Lemsid,26.5482,-13.8482,Morocco,Laâyoune-Sakia El Hamra,100